Animal,Age,Fever,AppetiteLoss,Weakness,Vaccination,Temp,Humidity,Disease
Sheep,4,No,No,No,Up to date,38.3,40.0,Healthy
Cow,5,No,No,No,Not Vaccinated,38.4,81.1,Healthy
Goat,14,No,No,No,Up to date,38.0,84.0,Healthy
Buffalo,10,No,No,No,Up to date,38.3,63.0,Healthy
Buffalo,2,No,No,No,Up to date,38.1,39.6,Healthy
Sheep,10,No,No,No,Up to date,38.3,44.7,Healthy
Cow,8,No,No,No,Up to date,37.9,37.2,Healthy
Buffalo,3,Yes,No,Yes,Up to date,39.7,88.9,Respiratory Infection
Sheep,7,No,No,No,Not Vaccinated,37.7,64.4,Healthy
Goat,7,No,No,No,Not Vaccinated,37.5,80.5,Healthy
Buffalo,2,No,No,No,Not Vaccinated,37.9,61.0,Healthy
Cow,14,No,No,No,Not Vaccinated,38.0,41.1,Healthy
Sheep,13,No,No,No,Not Vaccinated,37.7,37.8,Healthy
Goat,14,No,No,No,Up to date,37.6,37.3,Healthy
Cow,7,No,No,No,Up to date,38.1,42.9,Healthy
Buffalo,10,No,No,No,Not Vaccinated,37.8,61.5,Healthy
Cow,13,No,No,No,Not Vaccinated,37.9,58.4,Healthy
Sheep,4,No,No,No,Not Vaccinated,38.2,43.4,Healthy
Goat,5,Yes,Yes,No,Not Vaccinated,41.4,88.4,Heat Stress
Buffalo,15,No,No,No,Up to date,38.3,44.9,Healthy
Buffalo,12,No,No,No,Up to date,38.0,60.1,Healthy
Goat,5,No,Yes,No,Not Vaccinated,39.9,36.4,Mastitis
Goat,10,No,No,No,Up to date,38.0,42.1,Healthy
Sheep,4,Yes,Yes,Yes,Up to date,40.6,56.4,Foot and Mouth
Goat,2,No,No,No,Not Vaccinated,38.2,56.8,Healthy
Goat,12,No,No,No,Up to date,37.8,58.3,Healthy
Cow,15,No,No,No,Not Vaccinated,37.9,57.3,Healthy
Goat,2,Yes,Yes,Yes,Up to date,41.4,44.0,Foot and Mouth
Buffalo,9,Yes,Yes,Yes,Up to date,39.2,63.4,Mastitis
Goat,2,No,No,No,Up to date,38.3,36.4,Healthy
Buffalo,4,No,No,No,Not Vaccinated,37.7,59.5,Healthy
Goat,6,No,No,No,Not Vaccinated,37.6,44.9,Healthy
Cow,6,Yes,No,Yes,Up to date,41.0,57.4,Foot and Mouth
Cow,10,Yes,Yes,Yes,Not Vaccinated,40.5,87.9,Heat Stress
Sheep,15,Yes,Yes,No,Up to date,40.8,81.9,Heat Stress
Goat,14,No,Yes,Yes,Not Vaccinated,39.4,61.3,Mastitis
Buffalo,4,No,No,No,Not Vaccinated,37.8,85.1,Healthy
Sheep,5,Yes,Yes,Yes,Not Vaccinated,39.5,84.1,Respiratory Infection
Goat,9,No,Yes,No,Up to date,39.8,38.8,Mastitis
Cow,3,No,No,No,Not Vaccinated,38.0,86.6,Healthy
Sheep,12,Yes,Yes,Yes,Not Vaccinated,41.3,60.4,Foot and Mouth
Cow,10,No,No,No,Not Vaccinated,37.6,56.9,Healthy
Sheep,5,No,No,No,Not Vaccinated,37.6,55.3,Healthy
Buffalo,7,Yes,Yes,No,Up to date,40.9,85.5,Heat Stress
Goat,7,Yes,No,No,Not Vaccinated,39.9,87.7,Respiratory Infection
Sheep,15,Yes,Yes,Yes,Not Vaccinated,40.7,43.3,Foot and Mouth
Cow,3,No,No,No,Up to date,38.0,40.0,Healthy
Sheep,6,Yes,No,No,Up to date,39.1,82.8,Respiratory Infection
Cow,15,Yes,No,Yes,Up to date,39.6,89.1,Respiratory Infection
Goat,6,No,No,No,Up to date,38.2,83.1,Healthy
Cow,10,No,Yes,Yes,Up to date,39.6,83.5,Mastitis
Goat,15,No,No,No,Not Vaccinated,38.5,59.9,Healthy
Buffalo,15,No,No,No,Up to date,37.7,83.0,Healthy
Sheep,9,No,Yes,No,Not Vaccinated,39.6,44.1,Mastitis
Sheep,7,No,No,No,Not Vaccinated,37.5,58.6,Healthy
Sheep,10,No,No,No,Not Vaccinated,38.5,60.3,Healthy
Buffalo,13,No,Yes,No,Up to date,39.1,87.2,Mastitis
Cow,14,No,No,No,Up to date,37.6,44.7,Healthy
Buffalo,1,No,No,No,Not Vaccinated,38.4,83.1,Healthy
Cow,11,No,No,No,Up to date,38.0,55.4,Healthy
Goat,2,No,No,No,Not Vaccinated,38.1,44.2,Healthy
Buffalo,4,Yes,Yes,No,Not Vaccinated,40.8,81.6,Heat Stress
Buffalo,10,No,No,No,Up to date,37.9,89.5,Healthy
Goat,7,No,No,No,Up to date,38.0,39.3,Healthy
Cow,15,No,No,No,Up to date,38.3,63.0,Healthy
Buffalo,12,No,No,No,Not Vaccinated,37.7,61.2,Healthy
Sheep,4,No,No,No,Up to date,38.4,59.4,Healthy
Cow,6,No,Yes,No,Not Vaccinated,39.5,64.4,Mastitis
Goat,7,No,No,No,Up to date,38.2,40.4,Healthy
Sheep,15,No,No,No,Up to date,37.5,60.3,Healthy
Goat,8,No,No,No,Up to date,37.6,38.2,Healthy
Buffalo,11,No,No,No,Up to date,38.3,83.9,Healthy
Goat,5,Yes,No,Yes,Up to date,39.9,87.6,Respiratory Infection
Cow,13,Yes,Yes,Yes,Not Vaccinated,39.0,36.1,Mastitis
Sheep,10,No,No,No,Up to date,38.2,42.6,Healthy
Cow,11,Yes,No,Yes,Up to date,37.6,86.8,Respiratory Infection
Cow,1,No,No,No,Up to date,37.7,82.6,Healthy
Goat,8,No,No,No,Up to date,37.8,37.9,Healthy
Sheep,12,No,No,No,Not Vaccinated,38.4,86.5,Healthy
Buffalo,4,No,No,No,Not Vaccinated,38.2,40.2,Healthy
Cow,1,No,No,No,Not Vaccinated,37.9,62.7,Healthy
Sheep,12,No,Yes,No,Not Vaccinated,39.5,85.6,Mastitis
Goat,3,Yes,Yes,Yes,Not Vaccinated,41.2,86.5,Heat Stress
Cow,9,No,No,No,Not Vaccinated,37.5,41.5,Healthy
Goat,2,No,No,No,Not Vaccinated,38.0,59.9,Healthy
Buffalo,12,No,No,No,Not Vaccinated,38.2,64.3,Healthy
Buffalo,9,Yes,Yes,Yes,Up to date,41.1,84.8,Heat Stress
Buffalo,8,No,Yes,Yes,Not Vaccinated,41.1,86.4,Heat Stress
Cow,11,Yes,Yes,No,Not Vaccinated,39.7,58.9,Mastitis
Goat,14,No,No,No,Up to date,37.8,60.7,Healthy
Buffalo,10,No,No,No,Up to date,37.5,61.7,Healthy
Sheep,6,No,No,No,Up to date,40.8,89.5,Heat Stress
Goat,11,Yes,Yes,Yes,Up to date,41.4,63.7,Foot and Mouth
Buffalo,5,No,No,No,Up to date,38.0,42.2,Healthy
Goat,13,Yes,No,Yes,Not Vaccinated,38.3,80.9,Respiratory Infection
Sheep,1,No,No,No,Not Vaccinated,38.2,58.8,Healthy
