Animal_Type,Age_years,Fever_Detected,Appetite_Loss,Physical_Weakness,Vaccination_Status,Core_Temperature_C,Surrounding_Humidity_%,Disease
Goat,2.5,No,Yes,Yes,Up to date,38.2,65,Infection
Buffalo,7.1,Yes,No,Yes,Not up to date,37.9,68,Minor Illness
Cow,2.9,No,Yes,No,Not up to date,39.6,84,Minor Illness
Sheep,9.3,Yes,No,No,Up to date,39.8,74,Minor Illness
Goat,4.2,No,Yes,No,Up to date,38.7,58,Minor Illness
Buffalo,6.0,Yes,Yes,Yes,Not up to date,40.7,48,FMD
Goat,4.5,No,Yes,No,Not up to date,39.1,69,Minor Illness
Sheep,9.3,Yes,No,No,Up to date,40.8,54,FMD
Sheep,3.1,Yes,Yes,No,Up to date,38.9,63,Minor Illness
Buffalo,2.7,No,Yes,Yes,Up to date,40.6,85,Infection
Sheep,9.4,Yes,No,Yes,Up to date,40.0,42,Minor Illness
Cow,2.9,Yes,No,Yes,Not up to date,40.5,77,Lumpy Skin Disease
Cow,5.5,No,No,No,Up to date,39.7,68,Healthy
Cow,9.2,Yes,No,Yes,Up to date,40.7,45,FMD
Sheep,1.3,Yes,No,Yes,Not up to date,41.4,78,FMD
Buffalo,0.6,No,Yes,No,Not up to date,38.3,63,Minor Illness
Goat,7.4,No,Yes,Yes,Not up to date,39.6,79,Infection
Buffalo,6.0,No,Yes,Yes,Up to date,41.4,67,Infection
Cow,3.9,Yes,Yes,Yes,Not up to date,38.3,82,Infection
Cow,4.6,Yes,No,Yes,Up to date,38.8,47,Minor Illness
Cow,1.5,No,No,Yes,Not up to date,41.3,80,Minor Illness
Goat,10.1,No,No,Yes,Up to date,39.2,76,Minor Illness
Buffalo,3.7,Yes,No,Yes,Up to date,41.3,68,FMD
Goat,3.0,Yes,No,Yes,Not up to date,38.4,68,Minor Illness
Goat,10.0,Yes,Yes,No,Not up to date,39.7,83,Minor Illness
Cow,6.4,No,No,No,Up to date,38.7,73,Healthy
Buffalo,5.3,No,No,Yes,Up to date,40.4,58,Minor Illness
Goat,11.6,No,No,Yes,Not up to date,39.4,69,Minor Illness
Buffalo,8.8,Yes,No,Yes,Not up to date,41.0,55,FMD
Goat,10.6,No,Yes,No,Up to date,37.9,89,Minor Illness
Sheep,5.4,No,No,No,Up to date,37.8,84,Healthy
Buffalo,5.3,Yes,No,No,Not up to date,39.6,52,Minor Illness
Cow,10.4,Yes,Yes,Yes,Up to date,39.9,49,Infection
Cow,2.6,Yes,Yes,No,Not up to date,41.2,80,FMD
Buffalo,3.5,Yes,No,No,Not up to date,38.1,41,Minor Illness
Cow,2.4,Yes,No,No,Up to date,38.6,62,Minor Illness
Goat,11.7,No,Yes,No,Not up to date,38.7,56,Minor Illness
Goat,11.9,No,No,Yes,Not up to date,40.9,58,Minor Illness
Buffalo,11.9,No,Yes,Yes,Not up to date,40.3,54,Infection
Cow,5.5,Yes,No,Yes,Not up to date,41.1,87,Lumpy Skin Disease
Goat,2.3,No,No,Yes,Up to date,37.9,84,Minor Illness
Cow,9.3,Yes,No,Yes,Up to date,38.1,43,Minor Illness
Cow,1.4,Yes,No,No,Not up to date,38.9,89,Minor Illness
Sheep,8.8,Yes,No,No,Not up to date,38.3,56,Minor Illness
Cow,11.2,Yes,No,No,Up to date,38.3,64,Minor Illness
Goat,2.3,Yes,No,Yes,Not up to date,39.8,63,Minor Illness
Goat,3.4,No,No,Yes,Up to date,38.5,57,Minor Illness
Goat,9.9,No,No,No,Up to date,40.7,60,Healthy
Cow,3.6,Yes,No,No,Not up to date,38.9,49,Minor Illness
Goat,8.8,Yes,Yes,Yes,Up to date,40.5,88,FMD
Goat,4.6,Yes,No,Yes,Up to date,39.5,67,Minor Illness
Buffalo,11.9,No,No,Yes,Not up to date,40.3,52,Minor Illness
Sheep,7.0,Yes,Yes,Yes,Up to date,38.8,61,Infection
Buffalo,7.1,Yes,No,Yes,Not up to date,39.3,69,Minor Illness
Goat,3.9,No,No,Yes,Up to date,41.0,67,Minor Illness
Cow,4.6,No,No,Yes,Not up to date,40.2,59,Minor Illness
Sheep,10.8,No,No,No,Up to date,38.5,82,Healthy
Sheep,3.3,No,No,Yes,Not up to date,38.4,57,Minor Illness
Cow,5.1,No,Yes,No,Not up to date,38.9,48,Minor Illness
Goat,2.6,No,Yes,Yes,Not up to date,39.5,79,Infection
Buffalo,6.0,Yes,Yes,No,Up to date,38.0,48,Minor Illness
Cow,7.6,No,Yes,No,Up to date,37.7,66,Minor Illness
Sheep,1.9,Yes,Yes,Yes,Up to date,40.3,67,FMD
Cow,1.8,Yes,Yes,No,Not up to date,40.3,44,Lumpy Skin Disease
Cow,6.3,No,No,Yes,Not up to date,38.4,43,Minor Illness
Cow,2.6,Yes,No,Yes,Not up to date,40.6,48,FMD
Cow,3.5,Yes,No,No,Not up to date,38.8,88,Minor Illness
Goat,8.2,No,Yes,Yes,Up to date,38.8,61,Infection
Goat,2.7,No,No,Yes,Not up to date,39.5,85,Minor Illness
Goat,3.4,Yes,Yes,No,Not up to date,39.3,81,Minor Illness
Goat,6.3,Yes,No,No,Not up to date,38.6,88,Minor Illness
Sheep,9.1,Yes,Yes,No,Up to date,39.1,90,Minor Illness
Cow,7.5,Yes,Yes,Yes,Up to date,37.6,65,Infection
Buffalo,1.3,Yes,Yes,No,Not up to date,39.6,62,Minor Illness
Goat,2.8,Yes,Yes,No,Up to date,39.6,84,Minor Illness
Sheep,4.7,Yes,No,Yes,Up to date,41.1,55,FMD
Cow,7.2,No,No,No,Up to date,39.0,76,Healthy
Goat,8.7,No,Yes,Yes,Not up to date,40.4,68,Infection
Buffalo,7.5,No,Yes,No,Up to date,39.3,87,Minor Illness
Sheep,11.6,Yes,No,No,Up to date,41.2,47,Lumpy Skin Disease
Buffalo,5.5,No,Yes,Yes,Up to date,39.6,83,Infection
Sheep,5.4,No,No,Yes,Not up to date,37.6,78,Minor Illness
Sheep,10.4,Yes,No,Yes,Up to date,38.5,74,Minor Illness
Sheep,7.0,No,Yes,Yes,Up to date,41.3,49,Infection
Goat,4.8,Yes,Yes,No,Up to date,41.1,57,FMD
Cow,2.9,No,Yes,Yes,Up to date,39.0,54,Infection
Buffalo,11.2,No,Yes,Yes,Up to date,38.1,84,Infection
Sheep,9.8,Yes,Yes,No,Not up to date,37.8,74,Minor Illness
